D2_01,D2_03,D2_04,D2_05,D2_05_A,D2_06,D2_07,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
9,3,2,7,706,1,2,1,2,1,2
1,4,4,1,100,1,2,2,1,1,1
9,2,1,5,511,1,1,3,1,1,1
9,6,0,5,511,1,2,4,1,1,1
9,5,2,4,409,1,2,6,1,1,1
5,2,1,6,602,1,1,7,1,1,1
9,2,2,8,802,1,2,8,1,1,1
9,6,0,7,704,1,2,11,1,1,1
9,2,0,6,602,1,1,12,3,1,3
9,6,0,4,407,1,1,13,6,1,6
9,6,0,4,409,,,14,6,1,6
9,2,2,6,602,1,1,15,1,1,1
1,3,1,7,702,1,2,16,2,1,2
9,2,2,3,305,1,1,17,1,1,1
1,2,5,3,305,1,2,18,2,1,2
9,6,0,5,511,1,1,19,3,1,3
9,5,2,5,511,1,2,20,2,1,2
9,1,0,6,602,1,1,21,2,1,2
9,6,0,6,604,1,1,22,6,1,6
9,6,0,5,511,1,2,23,3,1,3
9,5,3,3,305,1,2,24,5,1,5
9,6,3,5,511,1,2,25,1,1,1
9,1,2,4,401,1,2,26,1,1,1
9,4,1,3,305,1,2,27,1,1,1
9,6,3,4,407,1,2,28,1,1,1
5,2,1,6,606,1,1,29,1,1,1
9,6,1,7,705,1,2,30,3,1,3
9,3,3,3,305,1,1,31,4,1,4
9,6,0,6,602,1,1,32,1,1,1
9,4,6,3,301,1,2,33,1,1,1
5,1,0,6,601,1,2,34,3,1,3
5,1,0,3,305,1,1,35,3,1,3
5,4,3,3,305,1,2,36,1,1,1
9,3,1,6,604,1,2,37,2,1,2
5,6,0,4,409,1,1,38,3,1,3
5,5,2,3,305,3,2,39,1,1,1
9,3,2,3,305,1,2,40,1,1,1
1,1,0,6,601,1,2,41,2,1,2
9,5,0,7,705,1,1,42,1,1,1
9,3,1,7,710,1,2,43,1,1,1
9,2,3,7,705,1,2,44,2,1,2
9,3,1,5,511,1,1,45,2,1,2
9,5,0,5,511,1,2,46,2,1,2
9,5,2,5,511,1,2,47,1,1,1
9,6,0,8,806,1,1,48,1,1,1
9,2,2,6,602,1,2,49,2,1,2
5,2,3,6,602,1,2,50,2,1,2
