E_01,E_02,E_03,E_04,E_05,E_06,E_07,E_08,E_09,E_10,E_11,E_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,,,,,,,,,2,,,1,2,1,2
1,15,3,2,,,,,,2,,,2,1,1,1
1,20,3,1,1,30,1,1,1,2,,,3,1,1,1
1,22,3,2,,,,,,2,,,4,1,1,1
2,,,,,,,,,2,,,6,1,1,1
1,18,3,2,,,,,,1,25,2,7,1,1,1
1,20,3,2,,,,,,2,,,8,1,1,1
2,,,,,,,,,1,24,2,11,1,1,1
1,13,3,2,,,,,,2,,,12,3,1,3
2,,,,,,,,,2,,,13,6,1,6
2,,,,,,,,,2,,,14,6,1,6
2,,,,,,,,,2,,,15,1,1,1
2,,,,,,,,,2,,,16,2,1,2
1,14,3,2,,,,,,2,,,17,1,1,1
1,12,3,2,,,,,,2,,,18,2,1,2
1,13,3,2,,,,,,2,,,19,3,1,3
1,11,3,2,,,,,,2,,,20,2,1,2
1,18,3,2,,,,,,1,22,2,21,2,1,2
1,20,3,1,1,1,2,,,2,,,22,6,1,6
2,,,,,,,,,2,,,23,3,1,3
2,,,,,,,,,2,,,24,5,1,5
2,,,,,,,,,2,,,25,1,1,1
2,,,,,,,,,2,,,26,1,1,1
2,,,,,,,,,2,,,27,1,1,1
2,,,,,,,,,2,,,28,1,1,1
1,22,3,2,,,,,,2,,,29,1,1,1
2,,,,,,,,,2,,,30,3,1,3
1,17,3,1,1,6,1,3,,2,,,31,4,1,4
2,,,,,,,,,2,,,32,1,1,1
2,,,,,,,,,2,,,33,1,1,1
2,,,,,,,,,2,,,34,3,1,3
1,22,2,1,2,,,,,1,22,1,35,3,1,3
1,28,3,1,1,30,1,1,1,2,,,36,1,1,1
2,,,,,,,,,2,,,37,2,1,2
1,20,3,2,,,,,,2,,,38,3,1,3
2,,,,,,,,,2,,,39,1,1,1
2,,,,,,,,,2,,,40,1,1,1
1,19,2,1,2,,,,,2,,,41,2,1,2
2,,,,,,,,,2,,,42,1,1,1
2,,,,,,,,,2,,,43,1,1,1
2,,,,,,,,,2,,,44,2,1,2
1,15,3,2,,,,,,2,,,45,2,1,2
2,,,,,,,,,2,,,46,2,1,2
2,,,,,,,,,2,,,47,1,1,1
1,11,3,1,1,15,1,2,,2,,,48,1,1,1
2,,,,,,,,,2,,,49,2,1,2
1,16,3,2,,,,,,2,,,50,2,1,2
1,14,3,2,,,,,,2,,,51,2,1,2
2,,,,,,,,,2,,,53,1,1,1
2,,,,,,,,,2,,,54,2,1,2
2,,,,,,,,,2,,,55,3,1,3
1,8,3,9,,,,,,2,,,56,1,1,1
1,18,3,2,,,,,,1,21,1,57,3,1,3
2,,,,,,,,,2,,,58,3,1,3
2,,,,,,,,,2,,,59,4,1,4
2,,,,,,,,,2,,,60,2,1,2
2,,,,,,,,,2,,,62,2,1,2
2,,,,,,,,,2,,,63,1,1,1
1,18,3,2,,,,,,2,,,64,1,1,1
2,,,,,,,,,2,,,66,1,1,1
2,,,,,,,,,2,,,67,5,1,5
1,16,3,2,,,,,,2,,,69,1,1,1
2,,,,,,,,,2,,,70,3,1,3
2,,,,,,,,,2,,,71,3,1,3
1,20,3,1,1,2,1,3,,2,,,72,1,1,1
2,,,,,,,,,2,,,73,2,1,2
1,17,3,1,1,30,1,1,2,1,41,2,74,2,1,2
2,,,,,,,,,2,,,75,1,1,1
2,,,,,,,,,2,,,76,4,1,4
2,,,,,,,,,2,,,77,2,1,2
2,,,,,,,,,2,,,78,1,1,1
2,,,,,,,,,2,,,79,2,1,2
2,,,,,,,,,2,,,80,1,1,1
1,18,3,2,,,,,,2,,,81,1,1,1
2,,,,,,,,,2,,,82,1,1,1
2,,,,,,,,,2,,,83,2,1,2
1,12,3,2,,,,,,2,,,84,5,1,5
1,22,1,1,1,3,2,,,2,,,85,1,1,1
2,,,,,,,,,2,,,86,1,1,1
2,,,,,,,,,2,,,88,3,1,3
1,18,3,2,,,,,,2,,,89,2,1,2
2,,,,,,,,,2,,,90,1,1,1
1,13,3,1,1,18,1,1,60,2,,,91,1,1,1
1,18,2,2,,,,,,2,,,92,1,1,1
2,,,,,,,,,2,,,93,2,1,2
2,,,,,,,,,2,,,94,4,1,4
2,,,,,,,,,2,,,95,1,1,1
2,,,,,,,,,2,,,96,3,1,3
1,18,3,2,,,,,,1,32,2,97,2,1,2
2,,,,,,,,,2,,,98,3,1,3
1,20,3,1,1,30,1,1,2,2,,,99,5,1,5
1,33,3,1,1,30,1,1,5,2,,,100,2,1,2
1,12,3,2,,,,,,2,,,101,2,1,2
1,14,3,2,,,,,,2,,,103,1,1,1
2,,,,,,,,,2,,,105,1,1,1
2,,,,,,,,,2,,,106,1,1,1
2,,,,,,,,,2,,,107,1,1,1
2,,,,,,,,,2,,,109,3,1,3
2,,,,,,,,,2,,,110,2,1,2
1,12,3,1,1,3,2,,,2,,,111,6,1,6
2,,,,,,,,,2,,,112,1,1,1
2,,,,,,,,,2,,,113,1,1,1
2,,,,,,,,,2,,,114,2,1,2
2,,,,,,,,,2,,,115,2,1,2
2,,,,,,,,,2,,,116,2,1,2
2,,,,,,,,,2,,,117,3,1,3
2,,,,,,,,,2,,,118,1,1,1
2,,,,,,,,,2,,,119,3,1,3
2,,,,,,,,,2,,,120,1,1,1
1,21,3,1,1,4,2,,,2,,,121,1,1,1
1,15,3,2,,,,,,2,,,122,2,1,2
1,28,3,2,,,,,,2,,,123,2,1,2
2,,,,,,,,,2,,,124,4,1,4
2,,,,,,,,,2,,,125,3,1,3
2,,,,,,,,,2,,,126,2,1,2
2,,,,,,,,,2,,,127,3,1,3
1,25,3,2,,,,,,2,,,128,1,1,1
1,13,3,1,1,30,1,1,2,2,,,129,1,1,1
1,17,3,1,1,30,1,1,3,2,,,130,2,1,2
2,,,,,,,,,2,,,131,1,1,1
2,,,,,,,,,2,,,132,2,1,2
2,,,,,,,,,2,,,133,3,1,3
2,,,,,,,,,2,,,134,2,1,2
1,17,3,2,,,,,,2,,,135,1,1,1
2,,,,,,,,,2,,,136,2,1,2
2,,,,,,,,,2,,,137,2,1,2
2,,,,,,,,,2,,,138,2,1,2
1,20,3,1,1,15,1,2,,2,,,139,3,1,3
1,17,3,2,,,,,,1,17,2,140,1,1,1
1,15,3,2,,,,,,2,,,141,1,1,1
2,,,,,,,,,2,,,142,1,1,1
1,15,3,2,,,,,,2,,,144,1,1,1
2,,,,,,,,,1,19,2,146,2,1,2
1,18,3,2,,,,,,2,,,147,1,1,1
2,,,,,,,,,2,,,148,1,1,1
2,,,,,,,,,2,,,149,1,1,1
1,18,3,1,1,4,1,2,,2,,,150,2,1,2
2,,,,,,,,,2,,,151,1,1,1
2,,,,,,,,,2,,,152,1,1,1
2,,,,,,,,,2,,,153,2,1,2
1,20,3,2,,,,,,2,,,154,1,1,1
2,,,,,,,,,2,,,155,3,1,3
2,,,,,,,,,2,,,156,1,1,1
2,,,,,,,,,2,,,157,2,1,2
2,,,,,,,,,2,,,158,1,1,1
2,,,,,,,,,2,,,159,2,1,2
1,15,3,1,1,5,1,2,,1,18,2,160,1,1,1
1,15,3,2,,,,,,2,,,161,1,1,1
2,,,,,,,,,2,,,162,1,1,1
1,20,3,2,,,,,,1,24,2,163,3,1,3
1,18,3,2,,,,,,2,,,164,1,1,1
2,,,,,,,,,2,,,165,3,1,3
2,,,,,,,,,2,,,166,1,1,1
1,18,3,2,,,,,,2,,,167,3,1,3
2,,,,,,,,,2,,,168,2,1,2
1,18,3,2,,,,,,2,,,170,1,1,1
1,19,3,2,,,,,,2,,,172,2,1,2
1,21,3,2,,,,,,2,,,173,1,1,1
2,,,,,,,,,2,,,174,1,1,1
1,24,3,2,,,,,,2,,,175,1,1,1
2,,,,,,,,,2,,,176,2,1,2
1,10,3,2,,,,,,2,,,177,1,1,1
2,,,,,,,,,2,,,178,2,1,2
2,,,,,,,,,2,,,179,2,1,2
1,23,3,2,,,,,,2,,,180,1,1,1
1,17,3,2,,,,,,2,,,181,1,1,1
2,,,,,,,,,2,,,182,1,1,1
2,,,,,,,,,2,,,183,2,1,2
2,,,,,,,,,2,,,184,4,1,4
2,,,,,,,,,2,,,185,2,1,2
1,30,3,2,,,,,,2,,,186,1,1,1
2,,,,,,,,,2,,,187,2,1,2
1,14,3,2,,,,,,2,,,188,2,1,2
1,15,3,2,,,,,,2,,,189,1,1,1
2,,,,,,,,,2,,,190,3,1,3
2,,,,,,,,,2,,,191,1,1,1
2,,,,,,,,,2,,,192,1,1,1
2,,,,,,,,,2,,,194,3,1,3
2,,,,,,,,,2,,,195,1,1,1
1,19,3,2,,,,,,2,,,196,1,1,1
2,,,,,,,,,2,,,197,1,1,1
