Depmuni,TIPO,SERVICIO,ESTRATO,TOTAL_PERSONAS,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,ESTADO_ENCUESTA,RECO_DIC
15001,1,1,3,4,1,1,1,1,,0
15001,1,1,2,3,2,1,1,1,,0
15001,2,1,3,4,3,1,1,1,,0
15001,1,1,2,1,4,1,1,1,,0
70215,1,1,1,3,6,1,1,1,,0
70215,1,1,1,5,7,1,1,1,,0
23001,2,1,3,4,8,1,1,1,,0
23001,2,1,3,1,11,1,1,1,,0
15001,1,1,3,4,12,1,1,1,,0
23001,1,1,2,6,13,1,1,1,,0
23001,2,1,2,6,14,1,1,1,,0
95001,2,1,1,3,15,1,1,1,,0
95001,2,1,3,3,16,1,1,1,,0
95001,1,1,1,4,17,1,1,1,,0
81001,1,1,3,2,18,1,1,1,,0
95001,2,1,1,3,19,1,1,1,,0
95001,1,1,1,3,20,1,1,1,,0
23001,2,1,2,2,21,1,1,1,,0
81001,1,1,2,6,22,1,1,1,,0
81001,1,1,1,4,23,1,1,1,,0
95001,1,1,1,8,24,1,1,1,,0
95001,1,1,1,3,25,1,1,1,,0
23001,1,1,1,4,26,1,1,1,,0
23001,1,1,1,4,27,1,1,1,,0
81001,1,1,1,4,28,1,1,1,,0
13001,1,1,2,4,29,1,1,1,,0
68547,1,1,3,4,30,1,1,1,,0
81001,1,1,1,11,31,1,1,1,,0
95001,3,1,1,1,32,1,1,1,,0
68547,1,1,3,4,33,1,1,1,,0
27001,2,1,1,5,34,1,1,1,,0
27001,1,1,1,5,35,1,1,1,,0
81001,2,1,1,4,36,1,1,1,,0
81001,1,1,1,3,37,1,1,1,,0
23001,1,1,2,11,38,1,1,1,,0
27001,1,1,1,5,39,1,1,1,,0
13001,1,1,2,4,40,1,1,1,,0
95001,2,1,1,3,41,1,1,1,,0
18001,2,1,2,1,42,1,1,1,,0
68547,3,1,2,2,43,1,1,1,,0
68547,1,1,3,6,44,1,1,1,,0
68547,1,1,3,2,45,1,1,1,,0
13001,1,1,2,7,46,1,1,1,,0
68547,1,1,3,2,47,1,1,1,,0
95001,2,1,2,1,48,1,1,1,,0
95001,1,1,1,4,49,1,1,1,,0
23001,1,1,1,5,50,1,1,1,,0
23001,1,1,1,2,51,1,1,1,,0
95001,1,1,1,3,53,1,1,1,,0
68547,1,1,3,3,54,1,1,1,,0
95001,2,1,1,4,55,1,1,1,,0
68547,1,1,3,3,56,1,1,1,,0
13001,1,1,3,4,57,1,1,1,,0
68547,1,1,3,4,58,1,1,1,,0
13001,1,1,2,5,59,1,1,1,,0
95001,1,1,1,4,60,1,1,1,,0
13001,1,1,2,5,62,1,1,1,,0
95001,1,1,1,2,63,1,1,1,,0
