H_01,H_02_A,H_02_B,H_02_C,H_02_D,H_02_E,H_02_F,H_02_G,H_02_H,H_02_I,H_03,H_04,H_05,H_06_A,H_06_B,H_06_C,H_06_D,H_06_E,H_06_F,H_06_G,H_06_H,H_06_I,H_06_J,H_06_K,H_07,H_07_A,H_07_B,H_07_C,H_07_D,H_07_E,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,21,2,1,2
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,177,1,1,1
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,214,2,1,2
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,231,1,1,1
1,,,,,1,,,,,1,1,30,,,,,,,,,,,1,2,,,,,,245,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,279,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,287,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,318,6,1,6
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,337,4,1,4
1,,,,,1,,,,,1,1,10,,,,,,1,,,,,,2,,,,,,345,1,1,1
3,,,,,1,,,,,1,1,5,,,,,,,,,,,1,2,,,,,,349,2,1,2
3,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,544,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,550,5,1,5
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,565,2,1,2
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,629,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,644,4,1,4
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,706,2,1,2
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,715,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,725,3,1,3
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,830,1,1,1
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,879,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,908,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,1015,2,1,2
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,1023,1,1,1
2,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1043,2,1,2
1,,1,,,,,,,,1,1,1,,,1,,,,,,,,,2,,,,,,1142,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,1227,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,1236,2,1,2
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1267,9,1,9
2,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1368,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1371,3,1,3
1,,,,,1,,,,,1,1,12,,,,,,1,,,1,,,2,,,,,,1416,2,1,2
3,,1,,,,,,,,1,1,7,,,1,,,,,,,,,1,,,1,,,1535,3,1,3
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,1583,3,1,3
3,1,,,,,,,,,1,1,4,,,,,,,,,,,1,2,,,,,,1636,2,1,2
3,,,,,1,,,,,1,1,5,,,1,,,,,,,,,2,,,,,,1649,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,1678,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,1721,2,1,2
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,1724,6,1,6
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,1736,1,1,1
1,,,,1,,,,,,1,1,7,,,,,,,,,,,1,2,,,,,,1740,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,1742,7,1,7
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1825,4,1,4
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,1865,5,1,5
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,1881,3,1,3
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,1890,1,1,1
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,1911,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,1949,6,1,6
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,1968,3,1,3
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,1976,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,1983,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,2013,7,1,7
9,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,2045,2,1,2
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,2050,1,1,1
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,2072,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,2081,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,2089,5,1,5
2,,,,,1,,,,,1,1,1,,,,,,,,,,,1,2,,,,,,2099,1,1,1
2,,1,1,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,2181,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,2201,1,1,1
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,2261,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,2275,4,1,4
2,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,2348,1,1,1
2,,,,,1,,,,,1,1,1,,,,,,,,,,,1,2,,,,,,2420,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,2474,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2488,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,2514,1,1,1
2,,,,,1,,,,,1,1,2,,,,,,,,,,1,,2,,,,,,2532,4,1,4
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2602,1,1,1
3,1,,,,,,,,,1,1,4,,,1,,,1,,,,,,1,1,,,,,2744,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,2899,3,1,3
3,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,2975,1,1,1
3,,,,,1,,,,,1,1,1,,,,,,,,,,,1,2,,,,,,3011,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,3017,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,3084,3,1,3
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,3171,4,1,4
1,,,,,1,,,,,1,1,22,,,,,,,,,,,1,2,,,,,,3197,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,3240,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,3257,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,3350,3,1,3
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3409,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,3452,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,3468,3,1,3
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3528,3,1,3
1,,,,1,,,,,,1,1,4,,,,,,1,,,,,,2,,,,,,3559,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,3571,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,3574,1,1,1
2,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,3615,4,1,4
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,3629,2,1,2
2,,,,,1,,,,,1,1,3,,,,,,,,,,,1,2,,,,,,3634,3,1,3
1,,1,,,,,,,,1,1,1,,,,,,,,1,,,,2,,,,,,3665,3,1,3
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3699,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,3781,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,3788,1,1,1
3,1,,,,,,,,,1,1,7,,,,,,,,,,,1,2,,,,,,3825,1,1,1
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,3830,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,3851,3,1,3
3,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,3884,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,3966,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,3970,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,4033,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,4057,1,1,1
2,,,,,1,,,,,1,1,1,1,,,,,,,,,,,2,,,,,,4189,3,1,3
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,4191,3,1,3
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,4229,2,1,2
1,,1,,,,,,,,1,1,5,,,1,,,,,,,,,2,,,,,,4278,7,1,7
