J_01,J_02,J_03,J_04,J_05_A,J_05_B,J_05_C,J_05_D,J_05_E,J_05_F,J_06_A,J_06_B,J_06_C,J_06_D,J_06_E,J_06_F,J_06_G,J_06_H,J_06_I,J_07,J_08,J_09,J_10,J_11,J_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,,,2,,279,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,420,3,1,3
,,,,,,,,,,,,,,,,,,,3,1,4,2,1,2,535,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,2,,819,3,1,3
,,,,,,,,,,,,,,,,,,,9,9,,,9,,1236,2,1,2
,,,,,,,,,,,,,,,,,,,2,2,,,,,1345,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,1371,3,1,3
3,1,2,1,1,,,,,,,,1,,,,,,,,,,,1,1,1535,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,1578,1,1,1
3,1,4,2,1,,1,,1,,,,1,,,,,,,3,2,,,2,,1742,7,1,7
3,1,2,1,,,1,,,,,1,1,1,,,1,,,,,,,,,1815,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,1825,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,2,1865,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,1949,6,1,6
,,,,,,,,,,,,,,,,,,,,,,,1,2,1953,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,2013,7,1,7
,,,,,,,,,,,,,,,,,,,3,2,,,1,2,2081,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,2181,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,2201,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,2338,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,2,2425,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,2459,1,1,1
,,,,,,,,,,,,,,,,,,,3,1,2,1,1,1,2530,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,2616,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,2734,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,3241,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,3409,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,3541,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,3597,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,3634,3,1,3
,,,,,,,,,,,,,,,,,,,3,2,,,,,3654,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,,,3786,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,3795,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,3931,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,3970,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,4023,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,4026,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,4166,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,4174,3,1,3
