M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_08_VALOR,M_08_TEXTO,M_09_A,M_09_B,M_09_C,M_09_D,M_09_E,M_09_F,M_09_G,M_09_H,M_09_I,M_10_A,M_10_B,M_10_C,M_10_D,M_10_E,M_10_F,M_10_G,M_10_H,M_10_I,M_10_J,M_10_K,M_10_L,M_10_M,M_10_N,M_10_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,1,2,2,,,2,1,7000,SIETE MIL PESOS,,,,,,,1,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,535,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129,2,1,2
3,1,3,1,9,150000,150,1,1000,MIL PESOS,,,,1,,,,,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1348,2,1,2
3,1,2,2,,,10,1,3500,TRES MIL QUINIENTOS PESOS,,,1,,,,,,,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1431,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461,1,1,1
3,1,5,1,30,150000,20,1,500,QUINIENTOS PESOS,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1535,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568,2,1,2
3,1,3,1,1,10000,10,1,2000,DOS MIL PESOS,,,,,,1,,,,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1578,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742,7,1,7
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2267,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2804,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3243,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3758,1,1,1
3,1,4,1,3,90000,120,1,2000,DOS MIL,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3782,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3786,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4166,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4411,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4516,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4787,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4826,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4993,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5313,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5453,1,1,1
3,1,2,2,,,1,1,5000,CINCO MIL PESOS,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5611,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5661,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5937,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5959,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6181,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6224,4,1,4
3,1,4,1,20,30000,20,1,1500,MIL QUINIENTOS PESOS,,,1,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6614,2,1,2
3,1,5,1,30,300000,300,1,1000,MIL PESOS,,,1,,,,,,,2,2,2,2,2,1,1,2,1,1,1,2,2,2,1,6657,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6809,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7061,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7201,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7227,4,1,4
3,1,3,1,2,4000,2,1,2000,DOS MIL PESOS,,,1,1,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,7799,9,1,9
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7834,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8013,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8020,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8185,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8189,1,1,1
3,1,3,1,20,40000,10,2,,,,,,1,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8194,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8304,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8507,1,1,1
3,1,4,1,10,10000,10,1,1000,MIL PESOS,,,1,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8862,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8889,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9102,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9544,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9682,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9928,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9968,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,1,1,1
1,1,3,2,,,6,1,7000,DIEZ MIL PESOS,,,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10029,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10235,3,1,3
