N_01,N_02,N_03,N_04,N_05,N_06_A,N_06_B,N_06_C,N_07,N_08,N_09,N_09_TEXTO,N_10_A,N_10_B,N_10_C,N_10_D,N_10_E,N_10_F,N_10_G,N_10_H,N_10_I,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,279,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,290,1,1,1
3,1,2,2,,,,,,,40000,CUARENTA MIL PESOS,,,,,,,1,,,535,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,628,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,827,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,1342,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,1742,7,1,7
3,2,,,,,,,,,,,,,,,,,,,,2081,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,2275,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,2530,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,3528,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,4166,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,4278,7,1,7
3,2,,,,,,,,,,,,,,,,,,,,4457,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,4532,3,1,3
2,1,2,2,,,,,,,13000,TRECE MIL PESOS,,,1,,,,,,,4577,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,5442,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,5453,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,5738,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,5974,5,1,5
2,1,4,1,2,1,,,2,1,8000,OCHO MIL PESOS,,,,1,,,,,,6093,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,6181,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,6224,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,7026,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,7089,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,7227,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,7560,3,1,3
1,1,3,1,1,1,,,1,1,10000,DIEZ MIL PESOS,,,1,,,,,,,7572,1,1,1
9,2,,,,,,,,,,,,,,,,,,,,7877,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,8125,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,8150,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,8517,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,8917,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,8953,5,1,5
2,1,2,2,,,,,,,8000,OCHOMIL,,,,1,,,,,,9043,4,1,4
