P_01,P_02,P_03,P_04,P_05,P_06,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
1,1,,,,,44,2,1,2
,,,,2,,47,1,1,1
,,,,2,,164,1,1,1
1,2,,,,,176,2,1,2
2,,,,,,209,2,1,2
1,1,,,,,218,2,1,2
,,,,2,,279,1,1,1
,,2,,,,305,1,1,1
2,,,,,,311,1,1,1
,,,,2,,318,6,1,6
1,1,,,,,349,2,1,2
1,2,,,,,367,2,1,2
2,,,,,,379,4,1,4
,,,,1,2,394,2,1,2
,,,,1,2,398,2,1,2
,,2,,,,420,3,1,3
2,,,,,,424,3,1,3
1,2,,,,,441,1,1,1
2,,,,,,486,2,1,2
,,,,1,2,530,1,1,1
2,,,,2,,535,1,1,1
,,,,1,2,552,1,1,1
,,,,1,2,578,1,1,1
1,2,,,,,597,3,1,3
2,,,,,,647,2,1,2
,,,,1,1,702,4,1,4
,,,,2,,712,1,1,1
,,,,2,,819,3,1,3
,,,,2,,835,1,1,1
,,,,2,,838,2,1,2
,,,,2,,851,3,1,3
2,,,,,,913,2,1,2
1,2,,,,,994,1,1,1
2,,,,,,1015,2,1,2
1,1,,,,,1043,2,1,2
,,,,2,,1067,2,1,2
2,,,,,,1101,2,1,2
1,2,,,,,1127,2,1,2
,,,,2,,1209,1,1,1
,,,,2,,1218,1,1,1
2,,,,,,1227,1,1,1
,,2,,2,,1236,2,1,2
,,,,1,1,1348,2,1,2
2,,,,,,1349,2,1,2
1,2,,,,,1368,1,1,1
1,2,,,,,1386,5,1,5
1,1,,,,,1399,1,1,1
2,,,,,,1420,1,1,1
,,,,2,,1470,2,1,2
,,,,2,,1482,1,1,1
1,1,,,,,1535,3,1,3
1,2,,,,,1582,4,1,4
,,,,2,,1607,1,1,1
2,,2,,2,,1742,7,1,7
,,,,2,,1774,1,1,1
,,,,2,,1811,1,1,1
1,2,,,,,1865,5,1,5
,,,,2,,1880,1,1,1
1,2,,,,,1881,3,1,3
,,,,2,,1904,3,1,3
,,,,2,,1941,1,1,1
,,,,1,2,1953,2,1,2
,,,,2,,1959,4,1,4
1,2,,,,,1961,1,1,1
,,2,,,,1963,3,1,3
2,,,,,,1985,2,1,2
1,2,,,,,1998,2,1,2
,,,,2,,2014,1,1,1
2,,,,,,2022,2,1,2
2,,,,,,2029,2,1,2
1,1,,,,,2050,1,1,1
,,,,2,,2054,1,1,1
,,2,,,,2081,1,1,1
2,,,,,,2253,1,1,1
,,,,2,,2275,4,1,4
,,1,2,2,,2338,4,1,4
,,,,2,,2349,2,1,2
2,,,,,,2400,3,1,3
,,,,2,,2417,2,1,2
,,,,2,,2418,2,1,2
,,,,2,,2428,1,1,1
1,2,,,2,,2530,1,1,1
,,,,2,,2600,3,1,3
,,,,2,,2627,2,1,2
,,,,1,2,2725,1,1,1
,,2,,,,2734,1,1,1
,,,,2,,2741,1,1,1
,,,,2,,2761,3,1,3
1,2,,,,,3023,1,1,1
1,2,,,,,3028,1,1,1
2,,,,,,3046,2,1,2
,,,,2,,3268,3,1,3
,,,,2,,3277,2,1,2
