SEXO,EDAD,PARENTESCO,PADRE,MADRE,CONSENTIMIENTO,RESULTADO,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C
2,56,2,2,2,1,1,1,2,1,2,1047.148484810042
2,62,1,2,2,1,1,2,1,1,1,478.6964501988761
1,54,1,3,2,1,1,3,1,1,1,460.9122694072726
2,64,1,3,3,1,1,4,1,1,1,239.348225099438
2,46,1,2,2,1,1,6,1,1,1,203.978980658545
1,33,1,2,2,1,1,7,1,1,1,629.7235023041474
2,33,1,2,2,1,1,8,1,1,1,217.0689737126477
2,27,1,2,2,1,1,11,1,1,1,108.5344868563238
1,31,3,2,1,1,1,12,3,1,3,403.2189823850725
1,28,7,1,1,1,1,13,6,1,6,368.2690669718998
2,16,3,1,1,1,1,14,6,1,6,817.4576215985617
1,31,1,2,2,1,1,15,1,1,1,82.82535211267607
2,41,2,2,2,1,1,16,2,1,2,11.66868105209688
1,39,1,3,3,1,1,17,1,1,1,52.09967276433668
2,64,2,3,3,1,1,18,2,1,2,39.84927073705616
1,21,5,2,2,1,1,19,3,1,3,60.85778692058488
2,40,3,2,1,1,1,20,2,1,2,11.66868105209688
2,28,2,2,2,1,1,21,2,1,2,217.0689737126477
1,24,3,2,1,1,1,22,6,1,6,150.4968142482577
2,18,3,1,1,1,1,23,3,1,3,140.5663810370474
2,33,10,2,2,1,1,24,5,1,5,115.8354053181999
2,27,1,2,2,1,1,25,1,1,1,23.16708106363998
2,61,1,2,2,1,1,26,1,1,1,345.2117413874097
2,53,1,2,2,1,1,27,1,1,1,172.6058706937048
2,53,1,2,2,1,1,28,1,1,1,119.5478122111685
1,63,1,1,1,1,1,29,1,1,1,704.6173760776004
2,31,3,1,1,1,1,30,3,1,3,314.9463288683845
1,58,8,3,3,1,1,31,4,1,4,507.5022422946891
1,18,1,2,2,1,1,32,1,1,1,30.42889346029244
2,61,1,2,2,1,1,33,1,1,1,1199.885354812158
2,29,10,2,2,1,1,34,3,1,3,109.6169293229682
1,22,3,1,1,1,1,35,3,1,3,122.5079940849883
2,32,1,2,2,1,1,36,1,1,1,137.5667270142321
2,48,2,3,3,1,1,37,2,1,2,119.5478122111685
1,40,3,3,1,1,1,38,3,1,3,935.7681071190303
2,48,1,3,3,1,1,39,1,1,1,108.3159294765478
2,55,1,2,2,1,1,40,1,1,1,670.2153494723814
2,19,2,2,2,1,1,41,2,1,2,84.31851858669343
1,40,1,2,2,1,1,42,1,1,1,98.56593085793197
2,30,1,2,2,1,1,43,1,1,1,314.9463288683845
2,30,2,3,1,1,1,44,2,1,2,1058.219664997772
1,41,3,3,1,1,1,45,2,1,2,403.83998515181
2,51,3,2,1,1,1,46,2,1,2,1005.323024208572
2,50,1,3,2,1,1,47,1,1,1,719.9312128872949
1,34,1,2,3,1,1,48,1,1,1,27.60845070422535
2,29,2,2,2,1,1,49,2,1,2,46.33416212727996
2,35,2,2,2,1,1,50,2,1,2,372.775151049301
1,29,3,2,1,1,1,51,2,1,2,245.5127113145999
1,32,1,2,2,1,1,53,1,1,1,55.21690140845071
2,40,2,2,2,1,1,54,2,1,2,1084.762088847954
2,51,6,2,2,1,1,55,3,1,3,84.24286294864669
1,65,1,3,2,1,1,56,1,1,1,1316.977560967668
1,22,3,1,1,1,1,57,3,1,3,704.2464401626168
2,15,5,2,2,1,1,58,3,1,3,1619.796533534288
2,39,3,1,1,1,1,59,4,1,4,788.9422190949097
1,14,3,2,1,1,1,60,2,1,2,82.38154825410031
2,39,2,2,2,1,1,62,2,1,2,717.2201991771905
2,60,1,2,2,1,1,63,1,1,1,42.12143147432334
1,49,1,2,2,1,1,64,1,1,1,477.4259600853479
