Q_01_A,Q_01_B,Q_01_C,Q_01_D,Q_02,Q_03,Q_04,Q_05_A,Q_05_B,Q_05_C,Q_05_D,Q_05_E,Q_05_F,Q_05_G,Q_05_H,Q_05_I,Q_05_J,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,Q_01_E
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,3,1,1,1,
,,,2,2,,,1,1,1,1,4,1,1,3,2,1,7,1,1,1,
,,,2,2,,,1,1,1,2,2,1,1,1,1,1,8,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,11,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,12,3,1,3,
,,,2,2,,,4,1,1,1,1,1,1,1,1,1,13,6,1,6,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,14,6,1,6,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,15,1,1,1,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,16,2,1,2,
,,,2,2,,,1,1,1,4,1,1,1,1,1,1,17,1,1,1,
,,,2,9,,,1,1,1,2,1,1,1,1,1,1,19,3,1,3,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,20,2,1,2,
,,,2,2,,,1,2,1,1,1,1,1,1,1,1,21,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,22,6,1,6,
,,,2,2,,,3,1,1,1,2,1,1,1,1,1,23,3,1,3,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,24,5,1,5,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,25,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,30,3,1,3,
,,,2,2,,,2,1,1,1,1,1,1,1,1,1,31,4,1,4,
,,,2,2,,,3,1,1,2,1,1,1,2,1,1,32,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,35,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,2,36,1,1,1,
,,,2,2,,,2,1,1,1,1,1,1,1,2,1,38,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,41,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,42,1,1,1,
,,,2,2,,,2,2,1,2,3,2,1,2,1,4,44,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,45,2,1,2,
,,,2,2,,,1,1,1,2,1,1,1,1,1,1,48,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,50,2,1,2,
,,,2,2,,,1,1,1,4,2,1,1,1,1,4,53,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,54,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,57,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,58,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,62,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,66,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,67,5,1,5,
,,,2,2,,,1,1,1,2,1,1,1,1,1,1,72,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,73,2,1,2,
,,,2,2,,,1,1,1,1,2,1,1,1,1,1,74,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,78,1,1,1,
