R_01,R_02,R_03,R_04,R_05,R_06,R_07,R_08_A,R_08_B,R_08_C,R_08_D,R_09,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,,0,,2,2,2,2,9,9,9,2,3,1,1,1
2,,0,,2,2,2,9,9,9,9,2,6,1,1,1
2,,0,,1,1,1,9,1,9,9,9,7,1,1,1
2,,0,,9,2,9,9,2,9,9,2,8,1,1,1
2,,0,,1,2,9,9,2,9,9,2,11,1,1,1
2,,0,,1,1,1,9,2,9,9,2,12,3,1,3
2,,0,,1,1,2,9,2,9,9,2,15,1,1,1
2,,0,,2,2,2,9,2,9,9,2,16,2,1,2
2,,10,2,1,1,1,9,1,9,9,2,17,1,1,1
2,,0,,1,2,2,9,2,9,9,2,19,3,1,3
1,2,0,,2,2,2,9,2,9,9,2,20,2,1,2
2,,0,,2,2,2,9,2,9,9,2,21,2,1,2
2,,0,,2,2,2,2,2,9,9,2,22,6,1,6
2,,0,,2,2,2,9,2,9,9,2,24,5,1,5
2,,8,2,2,2,2,9,2,9,9,2,25,1,1,1
2,,0,,1,2,2,9,9,9,9,2,26,1,1,1
2,,0,,2,2,2,9,9,9,9,2,28,1,1,1
2,,0,,1,1,9,9,9,9,9,9,29,1,1,1
2,,0,,1,2,9,9,1,9,9,2,30,3,1,3
2,,0,,2,2,2,1,2,9,9,9,31,4,1,4
2,,2,2,2,1,2,9,2,9,9,2,32,1,1,1
2,,2,2,2,2,2,9,9,9,9,2,33,1,1,1
2,,0,,2,2,2,9,9,9,9,2,34,3,1,3
2,,0,,2,2,2,2,2,9,9,2,35,3,1,3
2,,0,,2,2,2,2,2,9,9,2,36,1,1,1
2,,0,,1,2,2,9,9,9,9,2,37,2,1,2
2,,0,,2,1,2,9,2,9,9,1,38,3,1,3
2,,0,,2,2,2,9,9,9,9,2,39,1,1,1
2,,0,,2,2,2,9,2,9,9,2,42,1,1,1
2,,0,,9,2,2,9,9,9,9,2,43,1,1,1
2,,0,,1,1,2,9,2,9,9,2,44,2,1,2
2,,0,,1,1,2,1,2,9,9,2,48,1,1,1
2,,0,,2,2,2,9,2,9,9,2,53,1,1,1
2,,3,2,2,2,2,9,2,9,9,2,54,2,1,2
9,,0,,1,1,1,9,9,9,9,9,55,3,1,3
1,2,0,,2,1,2,9,2,9,9,2,57,3,1,3
2,,0,,2,1,2,9,2,9,9,2,62,2,1,2
2,,0,,2,2,2,9,9,9,9,9,63,1,1,1
2,,0,,2,2,2,9,9,9,9,2,64,1,1,1
2,,3,2,2,2,2,2,2,9,9,2,72,1,1,1
2,,0,,1,2,2,9,2,9,9,2,73,2,1,2
2,,30,2,2,2,2,1,2,9,9,2,74,2,1,2
2,,0,,1,1,1,9,2,9,9,2,79,2,1,2
2,,0,,2,2,2,9,2,9,9,2,80,1,1,1
2,,0,,2,2,2,9,2,9,9,2,81,1,1,1
2,,0,,1,1,1,9,2,9,9,2,86,1,1,1
2,,0,,2,2,2,9,2,9,9,2,88,3,1,3
2,,0,,2,2,2,9,2,9,9,2,89,2,1,2
2,,0,,1,2,2,9,9,9,9,9,90,1,1,1
2,,0,,2,2,2,2,2,9,9,2,91,1,1,1
2,,0,,2,2,2,9,2,9,9,2,92,1,1,1
2,,0,,1,1,1,9,2,9,9,2,97,2,1,2
2,,0,,2,2,2,2,2,9,9,2,99,5,1,5
2,,0,,2,2,2,9,9,9,9,2,103,1,1,1
1,2,0,,1,2,2,9,2,9,9,2,105,1,1,1
2,,0,,1,1,1,9,2,9,9,2,106,1,1,1
9,,0,,2,2,2,9,9,9,9,9,107,1,1,1
2,,0,,1,2,2,9,9,9,9,2,110,2,1,2
2,,0,,1,1,2,2,2,9,9,2,111,6,1,6
2,,0,,1,1,9,9,9,9,9,2,112,1,1,1
2,,0,,1,1,1,9,2,9,9,2,118,1,1,1
2,,0,,1,1,9,9,2,9,9,2,119,3,1,3
2,,15,2,1,1,2,9,9,9,9,2,120,1,1,1
