S_01,S_02_A,S_02_A_01,S_02_B,S_02_B_01,S_02_C,S_02_C_01,S_02_D,S_02_D_01,S_02_E,S_02_E_01,S_02_F,S_02_F_01,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
1,2,,2,,2,,2,,2,,2,,1,2,1,2
1,1,1,1,1,2,,2,,2,,2,,2,1,1,1
2,,,,,,,,,,,,,4,1,1,1
1,2,,2,,2,,2,,2,,2,,6,1,1,1
1,2,,2,,2,,2,,2,,2,,8,1,1,1
2,,,,,,,,,,,,,11,1,1,1
2,,,,,,,,,,,,,14,6,1,6
1,2,,2,,2,,2,,2,,2,,16,2,1,2
1,1,1,2,,2,,2,,2,,2,,18,2,1,2
1,2,,2,,2,,2,,2,,2,,20,2,1,2
2,,,,,,,,,,,,,21,2,1,2
2,,,,,,,,,,,,,23,3,1,3
1,2,,2,,2,,2,,2,,2,,24,5,1,5
1,2,,2,,2,,2,,2,,2,,25,1,1,1
1,2,,2,,2,,2,,2,,2,,26,1,1,1
1,2,,2,,2,,2,,2,,2,,27,1,1,1
1,2,,2,,2,,2,,2,,2,,28,1,1,1
1,2,,1,3,2,,2,,2,,2,,30,3,1,3
1,2,,2,,2,,2,,2,,2,,33,1,1,1
2,,,,,,,,,,,,,34,3,1,3
1,2,,2,,2,,2,,2,,2,,36,1,1,1
1,2,,2,,2,,2,,2,,2,,37,2,1,2
1,2,,2,,2,,2,,2,,2,,39,1,1,1
1,2,,2,,2,,2,,2,,2,,40,1,1,1
2,,,,,,,,,,,,,41,2,1,2
1,2,,2,,2,,2,,2,,2,,43,1,1,1
1,2,,2,,2,,2,,2,,2,,44,2,1,2
2,,,,,,,,,,,,,46,2,1,2
1,2,,2,,2,,2,,2,,2,,47,1,1,1
1,2,,2,,2,,2,,2,,2,,49,2,1,2
1,2,,2,,2,,2,,2,,2,,50,2,1,2
1,2,,2,,2,,2,,2,,2,,54,2,1,2
1,2,,2,,2,,2,,2,,2,,55,3,1,3
2,,,,,,,,,,,,,58,3,1,3
1,2,,2,,2,,2,,2,,2,,59,4,1,4
1,2,,2,,2,,2,,2,,2,,62,2,1,2
1,2,,2,,2,,2,,2,,2,,63,1,1,1
1,2,,2,,2,,2,,2,,2,,66,1,1,1
1,2,,2,,2,,2,,2,,2,,69,1,1,1
1,2,,1,1,2,,2,,2,,2,,71,3,1,3
1,2,,2,,2,,2,,2,,2,,72,1,1,1
1,2,,2,,2,,2,,2,,2,,73,2,1,2
1,2,,2,,2,,2,,2,,2,,75,1,1,1
1,2,,2,,2,,2,,2,,2,,76,4,1,4
1,2,,2,,2,,2,,2,,2,,77,2,1,2
1,2,,2,,2,,2,,2,,2,,78,1,1,1
1,2,,1,3,2,,2,,2,,2,,79,2,1,2
1,2,,1,2,2,,2,,2,,2,,81,1,1,1
1,2,,2,,2,,2,,2,,2,,82,1,1,1
1,2,,2,,2,,2,,2,,2,,83,2,1,2
1,2,,2,,2,,2,,2,,2,,84,5,1,5
1,2,,2,,2,,2,,2,,2,,88,3,1,3
1,2,,2,,2,,2,,2,,2,,90,1,1,1
1,1,2,1,2,2,,2,,2,,2,,91,1,1,1
1,2,,2,,2,,2,,2,,2,,93,2,1,2
1,2,,2,,2,,2,,2,,2,,95,1,1,1
1,2,,2,,2,,2,,2,,2,,97,2,1,2
1,2,,2,,2,,2,,2,,2,,98,3,1,3
1,2,,1,2,2,,2,,2,,2,,99,5,1,5
1,1,2,2,,2,,2,,2,,2,,100,2,1,2
1,2,,2,,2,,2,,2,,2,,101,2,1,2
1,1,1,1,2,2,,2,,2,,2,,103,1,1,1
1,2,,2,,2,,2,,2,,2,,107,1,1,1
2,,,,,,,,,,,,,109,3,1,3
1,2,,2,,2,,2,,2,,2,,110,2,1,2
1,2,,2,,2,,2,,2,,2,,113,1,1,1
1,2,,2,,2,,2,,2,,2,,114,2,1,2
1,2,,2,,2,,2,,2,,2,,115,2,1,2
1,2,,2,,2,,2,,2,,2,,116,2,1,2
1,2,,2,,2,,2,,2,,2,,120,1,1,1
1,2,,2,,2,,2,,2,,2,,123,2,1,2
1,2,,2,,2,,2,,2,,2,,126,2,1,2
1,1,2,2,,2,,2,,2,,2,,130,2,1,2
1,2,,2,,2,,2,,2,,2,,131,1,1,1
2,,,,,,,,,,,,,133,3,1,3
1,2,,2,,2,,2,,2,,2,,134,2,1,2
1,2,,2,,2,,2,,2,,2,,136,2,1,2
2,,,,,,,,,,,,,137,2,1,2
1,2,,2,,2,,2,,2,,2,,138,2,1,2
2,,,,,,,,,,,,,139,3,1,3
2,,,,,,,,,,,,,140,1,1,1
1,2,,2,,2,,2,,2,,2,,141,1,1,1
1,2,,2,,2,,2,,2,,2,,142,1,1,1
1,2,,2,,2,,2,,2,,2,,149,1,1,1
1,2,,2,,2,,2,,2,,2,,150,2,1,2
1,2,,2,,2,,2,,2,,2,,153,2,1,2
1,2,,2,,2,,2,,2,,2,,154,1,1,1
1,2,,2,,2,,2,,2,,2,,157,2,1,2
2,,,,,,,,,,,,,159,2,1,2
1,2,,2,,2,,2,,2,,2,,161,1,1,1
1,2,,2,,2,,2,,2,,2,,162,1,1,1
2,,,,,,,,,,,,,165,3,1,3
2,,,,,,,,,,,,,166,1,1,1
2,,,,,,,,,,,,,168,2,1,2
1,2,,2,,2,,2,,2,,2,,172,2,1,2
1,2,,2,,2,,2,,2,,2,,174,1,1,1
1,2,,1,3,2,,2,,2,,2,,176,2,1,2
1,2,,2,,2,,2,,2,,2,,177,1,1,1
1,2,,2,,2,,2,,2,,2,,178,2,1,2
2,,,,,,,,,,,,,179,2,1,2
1,2,,2,,2,,2,,2,,2,,180,1,1,1
1,2,,2,,2,,2,,2,,2,,183,2,1,2
1,2,,2,,2,,2,,2,,2,,185,2,1,2
1,2,,2,,2,,2,,2,,2,,186,1,1,1
1,2,,2,,2,,2,,2,,2,,187,2,1,2
1,1,1,1,1,2,,2,,2,,2,,188,2,1,2
1,2,,2,,2,,2,,2,,2,,189,1,1,1
2,,,,,,,,,,,,,190,3,1,3
2,,,,,,,,,,,,,194,3,1,3
2,,,,,,,,,,,,,196,1,1,1
2,,,,,,,,,,,,,198,2,1,2
1,2,,2,,2,,2,,2,,2,,201,1,1,1
1,2,,2,,2,,2,,2,,2,,202,1,1,1
1,2,,2,,2,,2,,2,,2,,204,2,1,2
1,2,,2,,2,,2,,2,,2,,205,2,1,2
1,2,,2,,2,,2,,2,,2,,206,2,1,2
2,,,,,,,,,,,,,207,3,1,3
1,2,,2,,2,,2,,2,,2,,210,3,1,3
1,2,,2,,2,,2,,2,,2,,212,2,1,2
1,2,,2,,2,,2,,2,,2,,213,2,1,2
1,2,,2,,2,,2,,2,,2,,214,2,1,2
1,2,,2,,2,,2,,2,,2,,215,2,1,2
2,,,,,,,,,,,,,217,3,1,3
2,,,,,,,,,,,,,218,2,1,2
1,2,,2,,2,,2,,2,,2,,219,1,1,1
1,2,,2,,2,,2,,2,,2,,221,1,1,1
1,2,,2,,2,,2,,2,,2,,222,2,1,2
1,2,,2,,2,,2,,2,,2,,223,2,1,2
1,2,,2,,2,,2,,2,,2,,224,2,1,2
1,2,,2,,2,,2,,2,,2,,225,2,1,2
2,,,,,,,,,,,,,226,2,1,2
2,,,,,,,,,,,,,227,8,1,8
1,2,,2,,2,,2,,2,,2,,228,1,1,1
2,,,,,,,,,,,,,229,4,1,4
1,2,,2,,2,,2,,2,,2,,230,2,1,2
1,2,,2,,2,,2,,2,,2,,232,2,1,2
2,,,,,,,,,,,,,233,2,1,2
1,2,,2,,2,,2,,2,,2,,234,3,1,3
2,,,,,,,,,,,,,235,1,1,1
1,2,,2,,2,,2,,2,,2,,236,2,1,2
1,2,,2,,2,,2,,2,,2,,242,2,1,2
1,2,,2,,2,,2,,2,,2,,245,1,1,1
1,2,,2,,2,,2,,2,,2,,247,3,1,3
1,2,,2,,2,,2,,2,,2,,253,2,1,2
2,,,,,,,,,,,,,255,4,1,4
2,,,,,,,,,,,,,257,4,1,4
2,,,,,,,,,,,,,262,1,1,1
1,2,,1,2,2,,2,,2,,2,,263,1,1,1
1,2,,2,,2,,2,,2,,2,,264,1,1,1
2,,,,,,,,,,,,,267,1,1,1
1,2,,2,,2,,2,,2,,2,,268,2,1,2
1,2,,2,,2,,2,,2,,2,,269,2,1,2
1,2,,2,,2,,2,,2,,2,,271,2,1,2
1,2,,2,,2,,2,,2,,2,,273,2,1,2
2,,,,,,,,,,,,,274,1,1,1
1,2,,2,,2,,2,,2,,2,,275,2,1,2
2,,,,,,,,,,,,,277,3,1,3
1,2,,2,,2,,2,,2,,2,,278,2,1,2
1,2,,2,,2,,2,,2,,2,,280,2,1,2
2,,,,,,,,,,,,,287,2,1,2
1,2,,2,,2,,2,,2,,2,,289,2,1,2
1,2,,2,,2,,2,,2,,2,,292,1,1,1
1,2,,2,,2,,2,,2,,2,,293,2,1,2
2,,,,,,,,,,,,,295,2,1,2
2,,,,,,,,,,,,,297,3,1,3
1,2,,2,,2,,2,,2,,2,,299,1,1,1
1,2,,2,,2,,2,,2,,2,,304,2,1,2
1,2,,2,,2,,2,,2,,2,,306,2,1,2
2,,,,,,,,,,,,,307,5,1,5
2,,,,,,,,,,,,,310,1,1,1
1,2,,2,,2,,2,,2,,2,,313,2,1,2
1,2,,2,,2,,2,,2,,2,,316,1,1,1
1,2,,2,,2,,2,,2,,2,,317,6,1,6
1,2,,2,,2,,2,,2,,2,,319,1,1,1
1,2,,2,,2,,2,,2,,2,,320,1,1,1
2,,,,,,,,,,,,,323,3,1,3
1,2,,2,,2,,2,,2,,2,,325,1,1,1
1,2,,2,,2,,2,,2,,2,,327,2,1,2
1,2,,2,,2,,2,,2,,2,,329,2,1,2
1,2,,1,2,2,,2,,2,,2,,330,1,1,1
2,,,,,,,,,,,,,331,3,1,3
1,2,,2,,2,,2,,2,,2,,332,1,1,1
1,2,,2,,2,,2,,2,,2,,334,1,1,1
1,2,,2,,2,,2,,2,,2,,335,2,1,2
1,2,,2,,2,,2,,2,,2,,336,1,1,1
1,2,,2,,2,,2,,2,,2,,337,4,1,4
2,,,,,,,,,,,,,338,2,1,2
1,2,,2,,2,,2,,2,,2,,339,3,1,3
1,2,,2,,2,,2,,2,,2,,343,3,1,3
1,2,,2,,2,,2,,2,,2,,344,2,1,2
1,2,,2,,2,,2,,2,,2,,347,2,1,2
1,2,,2,,2,,2,,2,,2,,349,2,1,2
1,2,,2,,2,,2,,2,,2,,350,2,1,2
2,,,,,,,,,,,,,351,1,1,1
1,2,,2,,2,,2,,2,,2,,353,2,1,2
1,2,,2,,2,,2,,2,,2,,354,3,1,3
1,2,,2,,2,,2,,2,,2,,356,1,1,1
1,2,,2,,2,,2,,2,,2,,363,1,1,1
1,2,,2,,2,,2,,2,,2,,365,1,1,1
1,2,,2,,2,,2,,2,,2,,366,2,1,2
1,2,,2,,2,,2,,2,,2,,367,2,1,2
2,,,,,,,,,,,,,369,2,1,2
1,2,,2,,2,,2,,2,,2,,372,2,1,2
1,2,,2,,2,,2,,2,,2,,374,4,1,4
1,2,,2,,2,,2,,2,,2,,375,1,1,1
1,2,,2,,2,,2,,2,,2,,376,3,1,3
1,2,,2,,2,,2,,2,,2,,377,1,1,1
1,2,,2,,2,,2,,2,,2,,378,1,1,1
1,2,,2,,2,,2,,2,,2,,379,4,1,4
1,2,,2,,2,,2,,2,,2,,381,2,1,2
1,2,,2,,2,,2,,2,,2,,382,1,1,1
2,,,,,,,,,,,,,388,3,1,3
2,,,,,,,,,,,,,389,3,1,3
2,,,,,,,,,,,,,393,2,1,2
1,2,,2,,2,,2,,2,,2,,394,2,1,2
1,2,,2,,2,,2,,2,,2,,396,2,1,2
1,2,,2,,2,,2,,2,,2,,397,1,1,1
1,2,,2,,2,,2,,2,,2,,398,2,1,2
1,2,,2,,2,,2,,2,,2,,399,2,1,2
1,2,,2,,2,,2,,2,,2,,400,1,1,1
2,,,,,,,,,,,,,402,1,1,1
2,,,,,,,,,,,,,403,2,1,2
2,,,,,,,,,,,,,405,3,1,3
1,2,,2,,2,,2,,2,,2,,407,2,1,2
1,2,,2,,2,,2,,2,,2,,408,2,1,2
1,2,,2,,2,,2,,2,,2,,411,2,1,2
1,2,,2,,2,,2,,2,,2,,412,1,1,1
1,2,,2,,2,,2,,2,,2,,414,3,1,3
2,,,,,,,,,,,,,416,2,1,2
1,2,,2,,2,,2,,2,,2,,417,1,1,1
1,2,,2,,2,,2,,2,,2,,419,2,1,2
1,2,,2,,2,,2,,2,,2,,421,1,1,1
1,2,,2,,2,,2,,2,,2,,422,2,1,2
1,2,,2,,2,,2,,2,,2,,423,2,1,2
1,2,,2,,2,,2,,2,,2,,425,1,1,1
2,,,,,,,,,,,,,426,2,1,2
1,2,,2,,2,,2,,2,,2,,431,2,1,2
1,2,,2,,2,,2,,2,,2,,432,3,1,3
1,2,,2,,2,,2,,2,,2,,433,1,1,1
1,2,,2,,2,,2,,2,,2,,434,2,1,2
2,,,,,,,,,,,,,437,3,1,3
1,2,,2,,2,,2,,2,,2,,438,2,1,2
1,2,,2,,2,,2,,2,,2,,439,2,1,2
2,,,,,,,,,,,,,440,3,1,3
1,2,,2,,2,,2,,2,,2,,441,1,1,1
1,2,,2,,2,,2,,2,,2,,442,1,1,1
1,2,,2,,2,,2,,2,,2,,443,2,1,2
1,2,,2,,2,,2,,2,,2,,446,1,1,1
2,,,,,,,,,,,,,450,1,1,1
1,2,,2,,2,,2,,2,,2,,452,1,1,1
1,2,,2,,2,,2,,2,,2,,453,1,1,1
1,2,,2,,2,,2,,2,,2,,454,2,1,2
1,2,,2,,2,,2,,2,,2,,457,4,1,4
2,,,,,,,,,,,,,461,4,1,4
1,2,,2,,2,,2,,2,,2,,462,2,1,2
1,2,,2,,2,,2,,2,,2,,463,2,1,2
1,2,,2,,2,,2,,2,,2,,464,1,1,1
1,2,,2,,2,,2,,2,,2,,465,2,1,2
1,2,,2,,2,,2,,2,,2,,466,1,1,1
1,2,,2,,2,,2,,2,,2,,467,2,1,2
2,,,,,,,,,,,,,468,4,1,4
1,2,,2,,2,,2,,2,,2,,469,1,1,1
1,2,,2,,2,,2,,2,,2,,470,2,1,2
1,2,,1,3,2,,2,,2,,2,,472,1,1,1
2,,,,,,,,,,,,,473,1,1,1
1,2,,2,,2,,2,,2,,2,,475,1,1,1
1,2,,2,,2,,2,,2,,2,,476,2,1,2
1,2,,2,,2,,2,,2,,2,,478,1,1,1
1,2,,2,,2,,2,,2,,2,,480,2,1,2
1,2,,2,,2,,2,,2,,2,,482,1,1,1
